Bacia Estudo;Data Leitura;Precipitacao;Pressao Atmosferica Estacao;Pressao Atmosferica Max;Pressao Atmosferica Min;Radiacao Global;Temperatura Bulbo;Temperatura Ponto Orvalho;Temperatura Max;Temperatura Min;Temperatura Orvalho Max;Temperatura Orvalho Min;Umidade Max Hora Ant;Umidade Min Hora Ant;Umidade Relativa Ar;Vento Direcao Horaria;Vento Rajada;Vento Velocidade Horaria;Vazao Observada
UHE IBITINGA INVERNADA RECREIO;21/06/2022;0;960.33;960.58;960.14;687.1;20.18;14.21;20.77;19.38;14.67;13.72;76.33;71;73.38;112.46;3.62;1.73;"111.0"
UHE IBITINGA INVERNADA RECREIO;22/06/2022;0;959.42;959.65;959.19;693.63;21.58;12.4;22.35;20.87;13.03;12.07;63.46;57.29;60.08;105.67;5.28;2.58;"110.0"
UHE IBITINGA INVERNADA RECREIO;23/06/2022;0;960.68;960.86;960.44;713.12;20.71;9.85;21.51;19.93;10.55;9.25;58.46;52.04;54.96;66.75;3.53;1.49;"109.0"
UHE IBITINGA INVERNADA RECREIO;24/06/2022;0;961.53;961.73;961.31;698.26;19.07;8.79;20.09;18.17;9.54;7.94;59.92;51.67;55.92;167.33;2.48;0.87;"108.0"
UHE IBITINGA INVERNADA RECREIO;25/06/2022;0;962.13;962.35;961.88;696.74;18.33;9.96;19.26;17.45;10.59;9.05;66.5;58.38;63;148.13;3.21;1.08;"104.0"
UHE IBITINGA INVERNADA RECREIO;26/06/2022;0;962.28;962.56;962.04;706.26;18.21;12.64;18.87;17.58;12.99;12.23;75;70.04;72.58;152.29;6.11;2.4;"104.0"
UHE IBITINGA INVERNADA RECREIO;27/06/2022;0;961.7;961.99;961.49;675.38;17.67;11.95;18.38;16.99;12.28;11.49;74.79;69.13;72.29;174.63;4.45;1.71;"104.0"
UHE IBITINGA INVERNADA RECREIO;28/06/2022;0;960.64;960.82;960.41;688.97;18.81;12.4;19.59;18.01;12.94;11.9;73.92;68.04;70.88;175.96;3.16;1.32;"104.0"
UHE IBITINGA INVERNADA RECREIO;29/06/2022;0;960;960.22;959.82;663.73;19.21;12.31;20.1;18.39;12.78;11.83;70.88;64.17;67.75;198.79;3.92;1.31;"103.0"
UHE IBITINGA INVERNADA RECREIO;30/06/2022;0;960.7;960.87;960.49;727.42;19;10.3;19.78;18.15;11.17;9.81;67.04;60.54;63.13;193.21;3.25;1.15;"103.0"
UHE IBITINGA INVERNADA RECREIO;01/07/2022;0;960.61;960.87;960.42;699.12;17.82;8.59;18.85;16.77;9.07;7.79;63.29;55.33;59.75;144.5;3.02;1.01;"101.0"
UHE IBITINGA INVERNADA RECREIO;02/07/2022;0;961.15;961.28;960.88;695.08;20.63;10.73;21.46;19.69;11.22;10.29;61.08;54.5;57.58;182.63;4.01;1.63;"102.0"
UHE IBITINGA INVERNADA RECREIO;03/07/2022;0;963.97;964.14;963.75;709.43;21.04;11.07;22.11;20.15;11.53;10.53;60.54;53.92;57.29;106.04;3.28;1.14;"102.0"
UHE IBITINGA INVERNADA RECREIO;04/07/2022;0;963.52;963.77;963.35;722.16;20.49;10.23;21.43;19.47;10.88;9.75;60.38;53.38;56.46;127.08;3.01;0.98;"101.0"
UHE IBITINGA INVERNADA RECREIO;05/07/2022;0;962.53;962.73;962.33;732.77;19.2;8.5;20.18;18.15;9.06;7.85;58.92;51.33;54.96;133.88;3.19;0.94;"100.0"
UHE IBITINGA INVERNADA RECREIO;06/07/2022;0;961.3;961.57;961.13;706.25;18.75;8.61;19.74;17.76;9.12;8.04;59.88;53.25;56.58;88.79;3.45;1.41;"100.0"
UHE IBITINGA INVERNADA RECREIO;07/07/2022;0;961.1;961.25;960.87;715.88;20.85;8.43;21.75;19.84;8.93;7.93;53.29;47.33;50.25;131.92;4.13;1.43;"100.0"
UHE IBITINGA INVERNADA RECREIO;08/07/2022;0;963.73;963.89;963.48;641.54;19.85;9.21;21;18.73;9.71;8.65;57.83;50.04;54.17;134.83;3.01;1.03;"100.0"
UHE IBITINGA INVERNADA RECREIO;09/07/2022;0;963.88;964.16;963.65;712.36;19.91;8.96;20.85;19;9.43;8.48;56.38;49.83;53.04;121.83;3.96;1.28;"99.0"
UHE IBITINGA INVERNADA RECREIO;10/07/2022;0;961.71;961.98;961.54;704.53;20.08;9.06;20.89;19.23;9.47;8.59;56.04;50.42;53.25;85.63;4.48;2.11;"99.0"
UHE IBITINGA INVERNADA RECREIO;11/07/2022;0;958.61;958.92;958.4;724.07;20.57;9.42;21.4;19.85;9.71;9.09;54.58;49.75;52.33;108.75;5.43;2.3;"99.0"
