prefix;date;station_name;value;value_flu;read_value_flu;transmission_type_name;qtd_measurements;max_value
62752000;2022-06-21 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;11.007.142.857.142.800;11.007.142.857.142.800;10.558.571.428.571.400;WEBSERVICE;84;111.0
62752000;2022-06-22 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;109.25;109.25;10.338.958.333.333.300;WEBSERVICE;96;110.0
62752000;2022-06-23 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;10.780.208.333.333.300;10.780.208.333.333.300;9.961.458.333.333.320;WEBSERVICE;96;109.0
62752000;2022-06-24 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;10.567.708.333.333.300;10.567.708.333.333.300;9.427.812.499.999.990;WEBSERVICE;96;108.0
62752000;2022-06-25 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;10.377.906.976.744.100;10.377.906.976.744.100;895.697.674.418.604;WEBSERVICE;86;104.0
62752000;2022-06-26 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;1.033.452.380.952.380;1.033.452.380.952.380;885.285.714.285.713;WEBSERVICE;84;104.0
62752000;2022-06-27 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;1.031.875;1.031.875;881.499.999.999.999;WEBSERVICE;96;104.0
62752000;2022-06-28 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;10.322.916.666.666.600;10.322.916.666.666.600;882.499.999.999.999;WEBSERVICE;96;104.0
62752000;2022-06-29 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;10.289.583.333.333.300;10.289.583.333.333.300;8.744.999.999.999.980;WEBSERVICE;96;103.0
62752000;2022-06-30 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;10.177.083.333.333.300;10.177.083.333.333.300;847.499.999.999.998;WEBSERVICE;96;103.0
62752000;2022-07-01 00:00:00 UTC;UHE IBITINGA INVERNADA RECREIO;101.0;101.0;8.290.000.000.000.000;WEBSERVICE;70;101.0
