prefix;date;station_name;value;value_flu;read_value_flu;transmission_type_name;qtd_measurements;max_value
62800000;2022-06-21 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;11.508.333.333.333.300;11.508.333.333.333.300;12.242.500.000.000.000;WEBSERVICE;84;116.0
62800000;2022-06-22 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;11.404.545.454.545.400;11.404.545.454.545.400;1.184.193.181.818.180;WEBSERVICE;88;115.0
62800000;2022-06-23 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;11.097.916.666.666.600;11.097.916.666.666.600;10.672.291.666.666.600;WEBSERVICE;96;111.0
62800000;2022-06-24 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;11.019.791.666.666.600;11.019.791.666.666.600;10.383.229.166.666.600;WEBSERVICE;96;111.0
62800000;2022-06-25 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.952.325.581.395.300;10.952.325.581.395.300;10.133.604.651.162.700;WEBSERVICE;86;110.0
62800000;2022-06-26 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;1.089.047.619.047.610;1.089.047.619.047.610;9.904.761.904.761.920;WEBSERVICE;84;109.0
62800000;2022-06-27 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.769.791.666.666.600;10.769.791.666.666.600;9.463.541.666.666.680;WEBSERVICE;96;109.0
62800000;2022-06-28 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;106.0;106.0;8.860.000.000.000.010;WEBSERVICE;96;106.0
62800000;2022-06-29 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.633.333.333.333.300;10.633.333.333.333.300;8.976.666.666.666.670;WEBSERVICE;96;107.0
62800000;2022-06-30 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.711.458.333.333.300;10.711.458.333.333.300;925.125.000.000.001;WEBSERVICE;96;108.0
62800000;2022-07-01 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.739.583.333.333.300;10.739.583.333.333.300;9.352.500.000.000.010;WEBSERVICE;96;108.0
62800000;2022-07-02 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.698.958.333.333.300;10.698.958.333.333.300;9.206.354.166.666.670;WEBSERVICE;96;107.0
62800000;2022-07-03 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;106.0;106.0;8.860.000.000.000.010;WEBSERVICE;96;106.0
62800000;2022-07-04 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.584.375;10.584.375;8.805.312.500.000.000;WEBSERVICE;96;106.0
62800000;2022-07-05 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.530.208.333.333.300;10.530.208.333.333.300;8.615.729.166.666.660;WEBSERVICE;96;106.0
62800000;2022-07-06 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.491.666.666.666.600;10.491.666.666.666.600;8.480.833.333.333.330;WEBSERVICE;96;106.0
62800000;2022-07-07 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;105.0;105.0;8.509.999.999.999.990;WEBSERVICE;96;105.0
62800000;2022-07-08 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;10.429.166.666.666.600;10.429.166.666.666.600;8.262.083.333.333.330;WEBSERVICE;96;105.0
62800000;2022-07-09 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;104.0;104.0;8.159.999.999.999.990;WEBSERVICE;96;104.0
62800000;2022-07-10 00:00:00 UTC;UHE PROMISSÃO FAZENDA SÃO BENEDITO;104.0;104.0;8.159.999.999.999.990;WEBSERVICE;96;104.0
