prefix;date;station_name;value;value_flu;read_value_flu;transmission_type_name;qtd_measurements;max_value
62776800;2022-06-21 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;12.253.571.428.571.400;12.253.571.428.571.400;21.851.547.619.047.600;WEBSERVICE;84;140.0
62776800;2022-06-22 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.584.375;11.584.375;19.197.708.333.333.300;WEBSERVICE;96;120.0
62776800;2022-06-23 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.173.958.333.333.300;11.173.958.333.333.300;17.656.250.000.000.000;WEBSERVICE;96;115.0
62776800;2022-06-24 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.288.541.666.666.600;11.288.541.666.666.600;1.808.187.499.999.990;WEBSERVICE;96;116.0
62776800;2022-06-25 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.157.764.705.882.350;1.157.764.705.882.350;19.167.058.823.529.300;WEBSERVICE;85;119.0
62776800;2022-06-26 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.904.761.904.761.900;11.904.761.904.761.900;20.433.214.285.714.200;WEBSERVICE;84;120.0
62776800;2022-06-27 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.448.958.333.333.300;11.448.958.333.333.300;1.868.374.999.999.990;WEBSERVICE;96;118.0
62776800;2022-06-28 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.861.458.333.333.300;10.861.458.333.333.300;16.526.562.500.000.000;WEBSERVICE;96;111.0
62776800;2022-06-29 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.778.125;10.778.125;16.230.416.666.666.600;WEBSERVICE;96;113.0
62776800;2022-06-30 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.042.708.333.333.300;11.042.708.333.333.300;17.179.270.833.333.300;WEBSERVICE;96;115.0
62776800;2022-07-01 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.545.833.333.333.300;11.545.833.333.333.300;19.051.874.999.999.900;WEBSERVICE;96;122.0
62776800;2022-07-02 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.579.166.666.666.600;11.579.166.666.666.600;1.917.489.583.333.330;WEBSERVICE;96;118.0
62776800;2022-07-03 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.984.375;10.984.375;16.971.354.166.666.600;WEBSERVICE;96;115.0
62776800;2022-07-04 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.670.833.333.333.300;10.670.833.333.333.300;1.585.333.333.333.330;WEBSERVICE;96;110.0
62776800;2022-07-05 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.645.833.333.333.300;10.645.833.333.333.300;15.766.145.833.333.300;WEBSERVICE;96;111.0
62776800;2022-07-06 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.790.625;10.790.625;16.280.833.333.333.300;WEBSERVICE;96;115.0
62776800;2022-07-07 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.798.958.333.333.300;10.798.958.333.333.300;16.309.062.500.000.000;WEBSERVICE;96;111.0
62776800;2022-07-08 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.046.875;1.046.875;15.251.562.500.000.000;WEBSERVICE;96;126.0
62776800;2022-07-09 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.489.583.333.333.300;10.489.583.333.333.300;15.230.729.166.666.600;WEBSERVICE;96;108.0
62776800;2022-07-10 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.695.833.333.333.300;10.695.833.333.333.300;15.942.812.499.999.900;WEBSERVICE;96;111.0
62776800;2022-07-11 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.564.583.333.333.300;10.564.583.333.333.300;15.488.437.500.000.000;WEBSERVICE;96;110.0
62776800;2022-07-12 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.035.625;1.035.625;14.777.291.666.666.600;WEBSERVICE;96;106.0
62776800;2022-07-13 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.320.833.333.333.300;10.320.833.333.333.300;14.703.854.166.666.600;WEBSERVICE;96;123.0
62776800;2022-07-14 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.383.116.883.116.800;10.383.116.883.116.800;14.878.961.038.961.000;WEBSERVICE;77;118.0
62776800;2022-07-16 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;1.043.157.894.736.840;1.043.157.894.736.840;15.028.421.052.631.500;WEBSERVICE;19;105.0
62776800;2022-07-17 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.373.958.333.333.300;10.373.958.333.333.300;14.840.104.166.666.600;WEBSERVICE;96;114.0
62776800;2022-07-18 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.289.583.333.333.300;10.289.583.333.333.300;14.559.062.499.999.900;WEBSERVICE;96;109.0
62776800;2022-07-19 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.317.708.333.333.300;10.317.708.333.333.300;14.649.895.833.333.300;WEBSERVICE;96;109.0
62776800;2022-07-20 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.646.875;10.646.875;15.794.791.666.666.600;WEBSERVICE;96;115.0
62776800;2022-07-21 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.205.208.333.333.300;10.205.208.333.333.300;14.287.708.333.333.300;WEBSERVICE;96;110.0
62776800;2022-07-22 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.270.833.333.333.300;10.270.833.333.333.300;14.504.583.333.333.300;WEBSERVICE;96;117.0
62776800;2022-07-23 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;101.8;101.8;14.202.588.235.294.100;WEBSERVICE;85;115.0
62776800;2022-07-24 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.180.208.333.333.300;10.180.208.333.333.300;14.190.624.999.999.900;WEBSERVICE;96;105.0
62776800;2022-07-25 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;101.25;101.25;14.010.208.333.333.300;WEBSERVICE;96;104.0
62776800;2022-07-26 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.111.458.333.333.300;10.111.458.333.333.300;139.659.375;WEBSERVICE;96;104.0
62776800;2022-07-27 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.429.166.666.666.600;10.429.166.666.666.600;15.028.854.166.666.600;WEBSERVICE;96;109.0
62776800;2022-07-28 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;10.390.625;10.390.625;14.897.083.333.333.300;WEBSERVICE;96;108.0
62776800;2022-07-29 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.152.083.333.333.300;11.152.083.333.333.300;17.579.062.500.000.000;WEBSERVICE;96;115.0
62776800;2022-07-30 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.170.833.333.333.300;11.170.833.333.333.300;17.644.166.666.666.600;WEBSERVICE;96;115.0
62776800;2022-07-31 00:00:00 UTC;UHE IBITINGA GAVIÃO PEIXOTO;11.128.125;11.128.125;17.486.875.000.000.000;WEBSERVICE;96;113.0
